age,revenu_mensuel,revolving_utilization,debt_ratio,nb_open_credit_lines,nb_real_estate_loans,nb_dependents,nb_30_59_days_late,nb_60_89_days_late,nb_90_days_late,SeriousDlqin2yrs
36,2869.0,0.228,0.279,2,0,1,0,1,0,0
26,2601.0,0.198,0.645,6,1,1,1,0,0,0
26,4685.0,0.111,0.325,5,0,2,0,0,0,0
46,2500.0,0.321,0.284,0,1,2,0,0,0,0
51,2500.0,0.399,0.188,7,1,1,0,0,0,0
37,4842.0,0.327,0.424,5,0,3,0,0,0,0
48,4535.0,0.55,0.372,3,0,0,1,0,0,0
41,3872.0,0.419,0.45,5,0,3,0,0,0,0
31,2500.0,0.203,0.348,2,0,1,0,0,0,0
41,5088.0,0.125,0.101,8,0,3,0,0,0,0
53,4945.0,0.419,0.335,3,1,1,1,0,0,1
37,3783.0,0.246,0.158,4,1,1,1,0,0,0
53,2500.0,0.321,0.252,6,0,2,0,1,0,0
20,3007.0,0.375,0.71,6,0,0,1,0,1,0
46,5308.0,0.413,0.147,7,1,0,0,1,1,0
38,6616.0,0.146,0.327,5,1,1,0,0,0,0
35,3143.0,0.367,0.194,3,0,1,0,0,0,0
38,3254.0,0.422,0.57,2,0,1,1,0,0,0
20,3385.0,0.155,0.173,2,1,1,0,0,0,0
35,4120.0,0.254,0.482,3,0,3,0,0,0,0
41,2803.0,0.221,0.469,4,0,3,0,1,0,0
52,2500.0,0.507,0.275,2,0,0,0,0,0,0
32,6228.0,0.625,0.095,3,1,2,0,0,1,1
29,8165.0,0.035,0.383,1,1,3,0,0,0,0
32,2764.0,0.092,0.221,7,1,1,0,0,0,0
47,2500.0,0.28,0.354,3,0,0,0,0,0,0
41,3423.0,0.25,0.147,7,0,1,0,1,0,1
32,3346.0,0.436,0.261,3,1,1,1,0,0,1
43,5699.0,0.711,0.488,4,3,3,1,1,0,0
38,3732.0,0.686,0.797,3,0,0,0,0,0,0
47,2549.0,0.153,0.09,1,0,3,1,0,0,0
30,2500.0,0.325,0.067,4,0,1,0,0,0,0
34,5375.0,0.382,0.312,7,0,2,0,0,1,1
34,4768.0,0.447,0.435,6,1,1,0,0,0,0
23,5868.0,0.15,0.332,1,0,2,0,1,0,0
40,2500.0,0.325,0.475,7,1,1,0,0,0,0
40,8327.0,0.093,0.177,1,0,1,2,0,1,1
38,2500.0,0.432,0.339,3,0,0,0,0,0,1
35,5011.0,0.286,0.201,2,0,3,1,0,0,0
23,2500.0,0.355,0.252,1,0,3,0,1,0,1
33,2551.0,0.248,0.092,6,0,2,1,1,0,0
34,7350.0,0.16,0.48,1,1,3,0,0,0,0
29,5293.0,0.276,0.185,4,1,1,0,0,0,0
36,2848.0,0.292,0.372,4,0,0,1,0,0,0
42,2883.0,0.377,0.478,4,0,3,0,0,0,0
56,3810.0,0.311,0.237,0,1,2,0,0,0,0
39,4589.0,0.118,0.458,6,1,0,0,0,0,0
40,6395.0,0.062,0.267,5,0,1,0,0,0,0
37,2965.0,0.492,0.172,1,0,2,1,0,0,0
20,2500.0,0.387,0.534,6,1,1,0,0,0,0
37,3907.0,0.149,0.071,7,0,2,1,0,0,0
38,2964.0,0.244,0.225,2,0,1,0,0,0,0
62,2500.0,0.272,0.253,4,0,3,2,0,0,0
36,4163.0,0.386,0.234,2,0,1,1,0,0,0
41,3308.0,0.295,0.213,5,0,0,0,0,0,0
37,4179.0,0.488,0.601,8,1,3,0,0,0,0
26,2500.0,0.158,0.622,2,0,2,0,0,0,1
49,4532.0,0.056,0.609,6,1,2,0,0,0,0
45,2500.0,0.361,0.748,5,0,3,0,0,0,0
45,2509.0,0.16,0.616,4,2,0,0,0,0,0
28,3264.0,0.102,0.585,7,0,3,1,1,0,1
52,7973.0,0.286,0.264,9,0,5,1,0,0,0
23,5183.0,0.162,0.377,2,1,0,0,0,0,0
43,5912.0,0.23,0.17,3,0,0,1,0,0,0
59,6889.0,0.664,0.374,6,1,5,0,0,0,0
28,18422.0,0.475,0.383,2,0,2,1,0,0,1
32,3710.0,0.27,0.644,5,0,3,0,0,0,0
38,6899.0,0.761,0.238,1,0,1,0,1,1,1
32,5743.0,0.139,0.468,5,0,1,0,0,0,0
22,5700.0,0.155,0.28,1,0,1,0,0,0,0
38,8090.0,0.311,0.272,5,0,0,0,1,0,0
27,3015.0,0.11,0.059,5,0,4,2,0,0,0
42,2909.0,0.439,0.278,4,1,1,0,1,0,0
28,4204.0,0.283,0.264,7,1,1,0,0,0,0
53,3354.0,0.099,0.273,5,0,1,0,0,0,0
30,4202.0,0.292,0.375,2,0,4,1,0,0,0
34,7356.0,0.029,0.146,1,0,4,1,1,0,0
46,2936.0,0.084,0.195,5,0,2,0,0,0,0
25,3174.0,0.352,0.298,5,1,0,1,0,0,0
40,3938.0,0.231,0.004,1,0,1,0,0,0,0
51,3285.0,0.368,0.601,3,0,1,0,1,0,0
21,2500.0,0.206,0.186,5,0,1,0,0,0,0
39,2804.0,0.37,0.253,6,1,2,0,0,0,0
40,4961.0,0.505,0.292,2,0,1,1,0,0,0
45,6953.0,0.48,0.231,2,2,2,0,0,0,0
25,2500.0,0.215,0.594,4,0,0,0,0,0,0
24,2500.0,0.157,0.651,4,0,0,0,0,0,0
43,3691.0,0.079,0.413,4,0,0,0,0,0,0
40,2500.0,0.192,0.642,2,0,0,0,0,0,0
40,2980.0,0.244,0.252,4,1,1,0,0,0,1
41,2500.0,0.346,0.607,5,0,3,0,0,0,0
31,6742.0,0.051,0.471,3,0,2,0,0,0,0
40,2576.0,0.344,0.521,3,1,2,0,0,0,0
40,7660.0,0.204,0.318,6,0,1,0,0,0,0
30,6009.0,0.063,0.172,4,1,3,0,0,0,0
56,2722.0,0.246,0.426,2,0,3,0,0,0,1
42,2500.0,0.296,0.251,4,0,3,0,0,0,0
26,3337.0,0.353,0.865,2,0,0,0,0,0,0
44,3473.0,0.234,0.309,4,1,3,0,0,0,0
28,4255.0,0.567,0.378,4,0,1,0,0,0,0
45,2567.0,0.161,0.337,3,1,2,0,0,1,0
49,5094.0,0.414,0.579,3,2,1,1,0,0,0
29,4103.0,0.253,0.566,1,0,1,0,0,0,0
47,3124.0,0.55,0.453,3,0,0,0,0,0,1
42,2643.0,0.153,0.183,4,0,1,0,2,0,0
46,3350.0,0.306,0.57,3,0,0,0,0,1,0
56,2521.0,0.253,0.477,0,1,2,0,0,0,0
35,3738.0,0.333,0.65,4,1,0,0,0,0,0
30,3784.0,0.291,0.451,5,0,0,0,0,0,0
29,4096.0,0.193,0.112,4,0,3,1,0,0,0
29,8061.0,0.271,0.555,7,1,2,2,1,0,1
37,3430.0,0.653,0.646,1,0,2,0,0,0,0
41,5722.0,0.075,0.173,7,0,0,0,0,0,0
40,4037.0,0.224,0.276,4,0,1,0,0,1,0
46,3271.0,0.21,0.377,2,0,0,0,0,0,0
38,3451.0,0.415,0.464,3,0,0,0,0,0,0
52,3546.0,0.714,0.66,3,0,0,0,2,0,1
35,4129.0,0.505,0.101,5,0,1,0,0,1,1
65,2500.0,0.209,0.422,3,1,2,1,1,0,0
44,2500.0,0.077,0.511,6,0,2,0,0,0,0
29,4887.0,0.116,0.377,13,0,2,0,3,0,0
27,5454.0,0.544,0.383,4,0,2,0,0,0,0
42,5093.0,0.086,0.269,3,0,2,0,1,0,0
35,3904.0,0.077,0.592,3,0,3,0,0,0,0
45,5142.0,0.081,0.596,6,0,1,0,0,0,1
42,5019.0,0.26,0.153,8,0,1,1,0,0,0
37,5190.0,0.353,0.345,5,2,0,0,0,1,0
29,2500.0,0.098,0.098,4,0,2,0,0,0,0
22,2500.0,0.302,0.506,4,1,3,0,0,0,0
33,3057.0,0.361,0.456,2,2,4,0,0,0,0
46,3613.0,0.171,0.492,5,2,1,0,1,0,0
40,3265.0,0.154,0.599,4,1,0,0,0,0,1
25,2500.0,0.461,0.328,7,0,0,0,0,0,0
39,7901.0,0.58,0.361,8,0,0,0,0,0,0
41,3219.0,0.151,0.281,3,0,3,0,1,0,0
29,3935.0,0.271,0.155,3,0,1,1,0,0,0
39,6374.0,0.198,0.298,8,0,0,0,0,0,0
38,2500.0,0.447,0.494,2,0,3,0,0,0,0
26,2892.0,0.12,0.457,4,0,0,0,0,0,1
41,3059.0,0.278,0.441,2,0,0,1,0,0,0
43,3130.0,0.105,0.611,4,1,3,0,1,1,1
48,3368.0,0.292,0.124,5,1,1,0,0,0,0
48,6983.0,0.371,0.532,5,0,1,0,0,0,1
24,4930.0,0.143,0.135,3,0,1,0,0,0,0
28,5603.0,0.082,0.4,5,2,2,0,0,0,0
43,3719.0,0.241,0.342,2,0,0,1,0,0,0
43,2500.0,0.252,0.353,2,1,1,0,1,0,0
43,2500.0,0.292,0.47,3,2,1,1,0,0,0
65,2500.0,0.023,0.541,8,0,4,0,0,0,0
43,4281.0,0.276,0.474,3,0,2,1,0,0,0
49,3693.0,0.125,0.342,6,0,0,0,0,0,0
47,3312.0,0.337,0.129,2,0,0,0,0,0,0
44,3084.0,0.373,0.369,7,0,3,0,1,0,0
34,9003.0,0.65,0.079,2,0,0,0,0,0,0
45,2514.0,0.033,0.255,6,1,0,0,0,0,0
30,5528.0,0.163,0.347,4,0,2,0,0,0,0
35,3644.0,0.308,0.274,1,0,1,0,1,0,1
33,3542.0,0.355,0.224,1,0,2,0,0,0,0
38,6183.0,0.182,0.456,3,0,6,0,0,0,0
61,7031.0,0.327,0.448,6,0,3,1,1,0,0
20,3269.0,0.171,0.128,3,0,2,0,0,0,0
44,5217.0,0.135,0.749,11,0,2,0,0,0,1
21,4289.0,0.149,0.031,9,0,2,1,1,0,1
33,3653.0,0.263,0.512,2,2,2,1,0,0,0
48,3991.0,0.22,0.266,5,1,1,0,0,0,0
38,2672.0,0.31,0.195,7,1,1,0,0,0,0
27,3172.0,0.54,0.272,5,2,1,0,0,0,0
30,2804.0,0.679,0.286,5,2,1,0,0,0,0
44,5462.0,0.28,0.534,5,1,1,1,0,0,0
30,3488.0,0.071,0.519,4,0,1,0,0,0,1
40,2500.0,0.67,0.103,3,0,1,0,0,0,0
38,2629.0,0.075,0.314,0,0,0,0,0,0,0
31,2500.0,0.547,0.798,2,0,0,0,0,0,0
59,2915.0,0.728,0.405,0,0,2,1,0,1,1
44,3703.0,0.11,0.481,3,0,3,1,0,0,0
20,3425.0,0.566,0.232,6,1,2,0,0,0,0
39,8876.0,0.366,0.136,4,0,4,1,0,0,0
31,4716.0,0.076,0.572,3,1,0,0,0,0,0
46,4623.0,0.241,0.237,7,0,2,0,0,0,0
30,2500.0,0.248,0.35,5,2,2,1,0,1,0
36,3090.0,0.749,0.264,5,1,2,0,0,0,0
43,2925.0,0.45,0.271,4,0,0,0,0,0,0
46,2556.0,0.122,0.545,5,0,2,0,0,0,0
25,2540.0,0.353,0.145,5,1,1,3,0,1,0
34,2500.0,0.083,0.107,5,1,4,0,0,0,1
33,2500.0,0.177,0.796,6,1,2,0,0,0,0
31,5396.0,0.289,0.164,3,2,1,0,0,1,0
55,3414.0,0.039,0.255,4,1,1,0,1,0,0
42,2899.0,0.169,0.367,5,1,3,0,0,0,0
25,3632.0,0.311,0.554,8,0,1,0,1,0,1
47,6157.0,0.418,0.454,6,1,2,0,0,0,0
59,3648.0,0.055,0.176,3,1,0,0,0,0,0
48,4643.0,0.342,0.514,3,1,2,0,1,0,0
22,2500.0,0.398,0.361,6,0,0,0,0,0,0
33,2756.0,0.411,0.788,3,1,1,0,0,0,0
50,4270.0,0.128,0.188,3,0,1,0,0,0,0
30,8533.0,0.231,0.361,1,0,2,1,0,0,0
42,6929.0,0.143,0.562,7,1,0,0,2,0,1
45,4733.0,0.174,0.2,0,1,3,0,0,0,0
28,3898.0,0.179,0.261,3,1,2,0,0,0,0
37,6840.0,0.167,0.362,2,0,3,0,0,1,1
20,5206.0,0.248,0.134,3,0,2,0,0,0,0
27,2500.0,0.584,0.294,6,0,0,0,0,0,0
35,2500.0,0.329,0.234,0,0,1,0,1,0,1
25,4239.0,0.386,0.018,7,0,4,0,0,0,0
54,2500.0,0.411,0.362,7,0,3,0,0,0,0
23,2500.0,0.146,0.172,2,0,1,0,0,0,0
33,2657.0,0.324,0.348,3,1,1,0,0,0,0
39,3245.0,0.17,0.47,4,2,1,0,0,0,0
52,3199.0,0.408,0.465,5,1,2,1,0,0,1
23,3197.0,0.432,0.102,3,0,2,0,0,1,0
49,5278.0,0.24,0.622,4,1,0,1,0,0,0
38,3231.0,0.423,0.258,2,0,3,1,0,0,0
28,3062.0,0.459,0.621,3,1,2,1,1,0,1
42,2500.0,0.196,0.641,4,0,2,0,0,0,0
39,5773.0,0.571,0.307,3,1,4,0,0,0,0
31,2691.0,0.164,0.283,3,0,1,0,0,0,0
38,2500.0,0.436,0.423,5,0,2,0,0,0,0
34,4007.0,0.464,0.322,6,0,1,0,1,0,0
39,2578.0,0.244,0.45,6,1,3,1,1,0,0
44,2874.0,0.254,0.187,7,0,2,0,0,0,0
53,4090.0,0.175,0.226,2,0,1,0,0,0,0
25,3143.0,0.186,0.427,6,1,3,0,1,0,0
59,10303.0,0.511,0.489,2,0,1,0,0,0,0
20,3520.0,0.096,0.144,3,1,2,0,0,0,0
36,4808.0,0.481,0.081,2,0,2,0,0,0,0
43,2500.0,0.58,0.43,3,0,0,0,1,0,0
40,2500.0,0.645,0.244,4,0,0,0,0,0,0
31,2500.0,0.083,0.674,2,0,2,0,0,0,0
35,2500.0,0.096,0.417,4,0,3,0,0,0,0
33,4390.0,0.2,0.338,7,0,1,0,0,0,0
32,5802.0,0.413,0.323,2,0,0,0,0,0,0
46,4252.0,0.345,0.291,2,0,1,0,0,0,0
41,3288.0,0.104,0.328,4,0,1,0,0,0,0
31,2741.0,0.126,0.555,5,1,1,1,0,0,1
46,6010.0,0.622,0.326,5,0,0,0,1,0,0
41,9247.0,0.021,0.603,4,0,1,0,0,0,0
46,3869.0,0.315,0.307,6,0,2,0,0,0,0
44,5556.0,0.031,0.252,3,1,2,0,1,1,1
29,4249.0,0.151,0.025,4,1,0,1,0,0,0
32,5115.0,0.278,0.31,5,0,0,1,0,0,0
45,2500.0,0.711,0.194,6,0,3,0,0,0,0
44,2923.0,0.243,0.161,5,0,2,0,0,0,0
37,4350.0,0.413,0.372,3,0,5,0,0,0,1
39,6283.0,0.259,0.572,3,1,4,1,0,0,1
50,2520.0,0.17,0.588,0,0,1,0,0,0,0
32,2500.0,0.291,0.369,2,0,2,1,0,1,0
43,2910.0,0.523,0.364,7,0,1,0,0,0,0
35,5736.0,0.176,0.472,4,0,3,0,0,0,0
35,2500.0,0.133,0.264,4,0,2,0,1,0,1
48,2500.0,0.379,0.398,5,0,2,0,0,0,0
46,3906.0,0.315,0.223,7,0,1,0,0,0,0
46,3456.0,0.475,0.414,5,0,0,0,0,0,0
51,4758.0,0.283,0.07,6,0,0,0,0,0,0
38,2500.0,0.447,0.444,6,0,2,1,0,0,0
44,3146.0,0.11,0.181,2,1,1,0,0,0,0
34,6234.0,0.446,0.26,2,0,1,0,0,0,0
41,2500.0,0.402,0.304,2,0,2,0,0,0,0
36,7077.0,0.166,0.301,4,1,1,0,0,0,0
38,2500.0,0.372,0.447,7,0,2,0,0,0,0
43,5336.0,0.353,0.139,6,0,1,0,1,0,0
29,3078.0,0.26,0.161,2,1,2,0,0,0,0
58,2500.0,0.313,0.426,3,0,1,0,1,0,0
27,2911.0,0.397,0.667,7,0,1,0,0,0,1
25,4653.0,0.027,0.224,2,0,3,0,0,1,0
49,3630.0,0.352,0.232,6,0,2,0,0,0,0
45,6023.0,0.061,0.342,6,1,1,0,1,1,1
44,6947.0,0.586,0.638,2,0,1,2,0,0,1
44,2500.0,0.368,0.651,6,0,1,0,0,0,0
37,2500.0,0.09,0.495,3,0,1,1,0,0,0
29,2500.0,0.525,0.126,8,0,2,0,0,0,0
38,2500.0,0.28,0.363,2,1,1,0,0,1,0
31,5984.0,0.155,0.265,4,0,3,0,0,0,0
47,4685.0,0.204,0.088,2,0,2,1,0,0,0
36,2849.0,0.258,0.286,1,0,3,0,0,0,0
29,3623.0,0.044,0.513,3,0,0,0,0,0,0
34,6850.0,0.445,0.174,5,0,3,0,1,0,0
42,8592.0,0.056,0.503,3,0,0,0,1,0,0
32,4092.0,0.093,0.511,6,0,3,1,0,0,0
29,2500.0,0.157,0.635,8,1,3,0,0,0,0
40,4162.0,0.184,0.021,7,2,0,0,0,0,0
40,5545.0,0.451,0.509,4,0,3,0,0,0,1
32,4028.0,0.136,0.243,5,0,1,0,0,1,0
33,5049.0,0.714,0.48,3,2,0,0,0,0,0
40,4276.0,0.143,0.55,5,0,2,0,0,0,0
23,2500.0,0.239,0.144,4,1,1,0,1,0,1
23,2500.0,0.395,0.465,6,1,2,0,0,0,0
30,3151.0,0.326,0.552,4,0,1,1,0,0,0
35,5881.0,0.183,0.755,6,2,1,1,1,1,1
41,2580.0,0.191,0.31,6,1,3,0,0,0,0
52,4470.0,0.156,0.666,3,1,3,0,0,0,0
46,4174.0,0.232,0.209,0,1,2,1,0,0,0
36,7434.0,0.321,0.334,1,1,2,0,0,0,0
37,3573.0,0.241,0.66,3,1,2,0,1,0,1
27,2500.0,0.039,0.195,4,0,1,0,1,0,0
37,4871.0,0.259,0.177,7,1,1,0,0,0,0
35,9529.0,0.237,0.378,3,0,2,0,1,1,1
41,5017.0,0.33,0.231,5,0,3,0,0,0,0
29,2554.0,0.377,0.465,4,0,1,0,0,0,0
43,2500.0,0.372,0.168,1,0,2,0,0,1,1
53,2500.0,0.31,0.205,3,0,2,0,0,0,0
36,8969.0,0.244,0.225,2,0,4,2,0,0,0
42,3142.0,0.128,0.17,6,0,0,1,1,0,0
44,2702.0,0.11,0.479,4,1,0,0,0,0,0
33,3390.0,0.36,0.535,6,0,1,0,0,0,0
40,3157.0,0.085,0.382,3,1,2,0,0,0,0
38,7372.0,0.161,0.352,0,0,1,0,0,0,0
38,2500.0,0.213,0.47,3,0,0,0,0,0,0
30,6194.0,0.11,0.226,1,0,3,0,0,0,0
38,3847.0,0.16,0.19,2,1,2,0,0,0,0
42,6268.0,0.437,0.57,7,0,2,3,0,0,0
52,7422.0,0.111,0.306,4,0,1,0,0,0,0
47,3783.0,0.077,0.329,4,1,2,0,0,1,1
59,3160.0,0.033,0.115,3,0,0,1,0,0,0
30,3751.0,0.539,0.099,7,2,0,0,2,0,1
46,3489.0,0.098,0.114,1,0,0,0,0,0,0
39,2500.0,0.299,0.368,1,1,3,1,0,0,0
59,7322.0,0.455,0.326,6,0,3,0,1,0,0
29,4067.0,0.197,0.178,3,1,2,0,0,0,0
29,2500.0,0.175,0.225,8,0,0,0,0,0,0
32,2500.0,0.463,0.28,3,0,5,1,0,0,0
20,2500.0,0.36,0.225,6,0,4,1,0,1,0
32,5150.0,0.458,0.433,4,0,1,0,0,0,1
30,2756.0,0.228,0.679,0,0,6,0,0,0,0
39,2967.0,0.431,0.212,4,0,2,0,0,0,0
41,4535.0,0.459,0.351,2,0,1,1,0,0,0
56,2886.0,0.223,0.365,5,0,0,0,0,0,0
47,4656.0,0.466,0.43,7,0,1,0,0,0,0
32,3800.0,0.207,0.672,5,0,3,0,0,0,0
29,3506.0,0.2,0.087,4,0,0,0,0,0,0
42,2500.0,0.555,0.364,5,2,1,0,1,0,0
24,2518.0,0.28,0.101,7,1,1,0,0,1,1
56,4775.0,0.16,0.228,3,1,1,0,0,1,0
49,2679.0,0.201,0.284,4,0,2,0,0,0,0
33,6263.0,0.229,0.374,6,0,0,1,0,0,0
20,10466.0,0.112,0.227,6,0,3,0,0,0,0
51,4892.0,0.409,0.148,4,1,3,0,0,0,0
36,7128.0,0.273,0.081,5,0,1,0,0,0,0
50,5036.0,0.238,0.399,6,0,1,2,0,0,0
22,2863.0,0.173,0.527,4,0,0,0,0,0,0
32,3984.0,0.323,0.173,5,1,1,1,0,1,0
38,9009.0,0.097,0.304,7,1,4,0,0,0,0
38,2877.0,0.06,0.211,4,1,1,0,0,0,0
33,2500.0,0.325,0.431,5,1,0,0,0,0,0
44,2500.0,0.319,0.259,8,0,3,0,0,0,0
27,3301.0,0.094,0.137,4,0,1,0,0,1,0
36,2500.0,0.619,0.467,3,0,0,0,0,0,1
39,7733.0,0.151,0.086,4,1,3,0,0,0,0
43,4013.0,0.387,0.412,8,0,1,1,0,0,0
45,5638.0,0.151,0.39,5,0,4,0,0,0,0
26,3183.0,0.283,0.311,3,0,0,0,0,0,0
22,2500.0,0.341,0.437,8,0,0,1,0,0,1
50,2500.0,0.246,0.132,3,0,2,1,1,0,0
41,2500.0,0.148,0.464,3,1,1,0,0,1,1
30,4257.0,0.13,0.252,4,1,1,0,0,0,0
53,4601.0,0.101,0.271,4,0,1,0,0,0,0
39,4776.0,0.121,0.504,4,1,1,1,0,0,0
49,2500.0,0.25,0.243,4,0,3,0,1,0,1
38,3640.0,0.539,0.189,3,1,1,0,0,0,0
58,2500.0,0.226,0.073,3,2,3,1,0,0,0
55,4362.0,0.69,0.058,5,0,2,0,0,0,0
35,4517.0,0.118,0.496,4,1,1,0,0,0,0
47,2500.0,0.036,0.503,2,1,1,0,0,0,0
44,5629.0,0.646,0.504,8,1,1,0,0,0,0
51,10430.0,0.379,0.492,5,0,2,0,0,0,0
28,5301.0,0.401,0.052,3,0,0,0,0,0,0
44,3384.0,0.102,0.251,4,0,1,0,1,0,0
48,3158.0,0.233,0.35,1,0,3,0,0,0,0
20,3314.0,0.36,0.547,5,0,2,0,0,0,0
26,2585.0,0.414,0.382,2,1,1,0,0,0,0
20,4079.0,0.287,0.173,5,1,0,0,0,0,0
35,2500.0,0.072,0.254,6,0,1,0,1,0,0
45,2500.0,0.071,0.122,4,0,1,0,1,0,0
53,4019.0,0.545,0.478,2,0,0,0,0,0,0
38,3676.0,0.288,0.194,2,1,1,0,0,0,0
54,2816.0,0.224,0.581,10,0,2,0,0,0,0
24,2500.0,0.329,0.067,5,0,1,1,0,0,0
20,4148.0,0.582,0.176,4,0,2,0,0,0,0
37,2500.0,0.509,0.195,4,0,3,0,0,0,0
41,3420.0,0.551,0.697,5,1,1,0,0,0,0
37,8057.0,0.341,0.172,4,1,0,0,0,0,0
20,4881.0,0.264,0.45,3,0,2,0,0,0,0
37,2500.0,0.469,0.499,1,0,0,0,0,0,0
24,2500.0,0.147,0.118,6,0,2,0,0,0,0
44,3898.0,0.301,0.412,4,1,0,0,0,0,0
41,2500.0,0.208,0.09,5,0,2,0,0,1,0
28,2500.0,0.311,0.633,7,0,2,0,0,0,0
32,4627.0,0.025,0.641,1,0,1,1,1,0,0
27,4207.0,0.196,0.206,5,0,1,2,0,1,0
37,4459.0,0.11,0.119,3,0,1,0,0,0,0
47,4098.0,0.642,0.49,4,0,5,0,0,0,0
28,3536.0,0.149,0.412,5,1,3,0,1,0,0
43,2703.0,0.407,0.154,3,3,0,0,0,0,0
32,4593.0,0.138,0.182,5,0,1,0,0,0,0
30,7248.0,0.434,0.19,3,1,2,0,0,0,0
36,2906.0,0.397,0.22,4,0,2,1,0,0,1
27,2500.0,0.319,0.016,7,0,2,0,0,0,0
32,2500.0,0.092,0.407,3,0,0,0,0,0,0
26,2500.0,0.178,0.405,6,0,0,0,0,0,0
57,3988.0,0.1,0.433,3,0,2,0,1,0,0
38,2500.0,0.036,0.392,3,0,2,1,0,0,0
31,4437.0,0.383,0.245,3,1,1,0,0,0,0
40,4865.0,0.585,0.333,3,0,0,0,1,0,1
36,2500.0,0.802,0.284,7,0,1,0,0,0,0
35,2500.0,0.508,0.386,8,0,1,0,0,0,0
44,3774.0,0.336,0.241,4,0,1,0,1,0,0
45,3413.0,0.144,0.474,4,1,3,0,0,1,1
32,4600.0,0.335,0.486,2,0,0,1,0,2,1
32,3417.0,0.536,0.238,5,0,2,0,0,0,0
35,6433.0,0.287,0.386,5,0,1,0,0,0,0
20,3151.0,0.127,0.485,6,0,4,1,0,0,0
22,2500.0,0.464,0.117,6,0,1,0,0,0,0
51,2500.0,0.166,0.198,5,0,2,0,1,0,0
54,5069.0,0.082,0.459,3,0,1,0,1,0,0
